model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Focus,2015,9495,Manual,20018.0,Petrol,20.0,60.1,1.0
 Fiesta,2017,9795,Manual,12302.0,Petrol,0.0,65.7,1.0
 Fiesta,2014,9195,Manual,18980.0,Petrol,0.0,65.7,1.0
 Kuga,2017,16995,Manual,19172.0,Diesel,145.0,60.1,2.0
 Fiesta,2018,10500,Manual,23047.0,Petrol,145.0,65.7,1.0
 Ka+,2018,8450,Manual,17554.0,Petrol,145.0,54.3,1.2
 Fiesta,2019,12500,Manual,17695.0,Petrol,145.0,56.5,1.0
 Ka+,2017,7850,Manual,11149.0,Petrol,145.0,57.7,1.2
 EcoSport,2016,8750,Manual,25434.0,Petrol,125.0,52.3,1.0
 Fiesta,2017,10350,Manual,18730.0,Petrol,145.0,65.7,1.0
 Focus,2017,11499,Manual,21063.0,Diesel,0.0,74.3,1.5
 Kuga,2018,18999,Manual,13154.0,Diesel,145.0,60.1,2.0
 Fiesta,2018,11999,Manual,9899.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,10999,Manual,5732.0,Petrol,145.0,55.4,1.1
 Fiesta,2017,8999,Manual,34280.0,Petrol,0.0,65.7,1.0
 Fiesta,2019,19000,Manual,7584.0,Petrol,145.0,58.9,1.0
 Edge,2019,32500,Semi-Auto,1521.0,Diesel,145.0,37.2,2.0
 C-MAX,2017,9150,Manual,29336.0,Diesel,20.0,68.9,1.5
 Kuga,2019,18800,Manual,14375.0,Diesel,145.0,47.9,2.0
 Kuga,2019,18400,Manual,7957.0,Petrol,145.0,34.4,1.5
 Fiesta,2018,10350,Manual,6460.0,Petrol,145.0,64.2,1.1
 EcoSport,2017,8900,Manual,40861.0,Diesel,30.0,64.2,1.5
 Fiesta,2013,7250,Manual,28708.0,Petrol,0.0,65.7,1.0
 Fiesta,2019,13000,Manual,35.0,Petrol,145.0,48.7,1.1
 Focus,2017,12250,Manual,14554.0,Diesel,145.0,74.3,1.5
 Focus,2019,15497,Manual,12378.0,Petrol,145.0,60.1,1.0
 EcoSport,2018,13739,Manual,8230.0,Petrol,145.0,54.3,1.0
 Fiesta,2018,10190,Manual,24417.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,10497,Manual,15968.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,10690,Manual,7114.0,Petrol,145.0,64.2,1.1
 Focus,2018,13790,Manual,12047.0,Petrol,145.0,57.7,1.0
 Kuga,2017,15790,Manual,5509.0,Diesel,145.0,60.1,2.0
 Focus,2018,11890,Manual,13914.0,Petrol,145.0,61.4,1.0
 Fiesta,2018,9690,Manual,14961.0,Petrol,145.0,65.7,1.0
 Focus,2017,12990,Manual,12822.0,Petrol,145.0,57.7,1.0
 Fiesta,2017,9690,Manual,19725.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,9997,Manual,5777.0,Petrol,145.0,64.2,1.1
 Focus,2017,12497,Manual,12206.0,Petrol,145.0,60.1,1.0
 Kuga,2017,16497,Manual,13378.0,Diesel,145.0,64.2,1.5
 Focus,2018,15997,Manual,13794.0,Petrol,145.0,60.1,1.0
 Fiesta,2018,13690,Manual,10223.0,Petrol,145.0,60.1,1.0
 Fiesta,2018,11690,Manual,22477.0,Petrol,145.0,58.9,1.0
 Fiesta,2017,7250,Manual,33810.0,Petrol,125.0,54.3,1.2
 Fiesta,2018,9897,Manual,4868.0,Petrol,145.0,64.2,1.1
 EcoSport,2015,7490,Manual,31779.0,Petrol,160.0,44.8,1.5
 Focus,2019,14997,Manual,8745.0,Petrol,145.0,58.9,1.0
 Fiesta,2017,7997,Manual,20158.0,Petrol,145.0,54.3,1.2
 Fiesta,2018,9997,Manual,17476.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,9697,Manual,30611.0,Petrol,145.0,65.7,1.0
 Fiesta,2016,6990,Manual,26138.0,Petrol,125.0,54.3,1.2
 Ka+,2017,7997,Manual,10094.0,Petrol,145.0,57.7,1.2
 Focus,2018,11497,Manual,9379.0,Petrol,145.0,61.4,1.0
 Focus,2019,17497,Manual,8493.0,Petrol,145.0,60.1,1.0
 Fiesta,2017,10997,Manual,5508.0,Petrol,145.0,65.7,1.0
 Focus,2018,13497,Manual,17860.0,Petrol,145.0,57.7,1.0
 EcoSport,2018,13997,Manual,22084.0,Petrol,145.0,54.3,1.0
 Focus,2013,5997,Manual,75032.0,Petrol,20.0,58.9,1.0
 Fiesta,2018,11690,Manual,11483.0,Petrol,145.0,65.7,1.0
 Focus,2019,17497,Manual,9321.0,Petrol,145.0,60.1,1.0
 Fiesta,2017,7697,Manual,16886.0,Petrol,125.0,54.3,1.2
 EcoSport,2017,10997,Manual,16683.0,Petrol,145.0,53.3,1.0
 Fiesta,2017,8997,Manual,22040.0,Petrol,0.0,65.7,1.0
 Kuga,2017,14997,Manual,15746.0,Diesel,145.0,64.2,1.5
 Focus,2018,12997,Manual,16568.0,Petrol,145.0,57.7,1.0
 Fiesta,2018,10997,Manual,11651.0,Petrol,145.0,65.7,1.0
 Focus,2017,11350,Manual,11892.0,Petrol,145.0,60.1,1.0
 Focus,2017,10490,Manual,21044.0,Petrol,145.0,61.4,1.0
 Fiesta,2017,9997,Manual,15220.0,Petrol,145.0,64.2,1.1
 Fiesta,2017,8900,Manual,11521.0,Petrol,145.0,64.2,1.1
 Fiesta,2017,8990,Manual,24872.0,Petrol,145.0,64.2,1.1
 Focus,2018,16950,Manual,7687.0,Petrol,145.0,60.1,1.0
 Focus,2017,10997,Manual,21136.0,Petrol,20.0,61.4,1.0
 Kuga,2017,16500,Manual,19444.0,Diesel,145.0,54.3,2.0
 Focus,2017,10490,Manual,14576.0,Petrol,20.0,60.1,1.0
 Fiesta,2017,8790,Manual,16143.0,Petrol,125.0,54.3,1.2
 Fiesta,2018,10997,Manual,8389.0,Petrol,145.0,65.7,1.0
 Focus,2018,13497,Manual,19293.0,Petrol,145.0,57.7,1.0
 Focus,2019,16797,Manual,4523.0,Petrol,145.0,60.1,1.0
 Fiesta,2018,9997,Manual,20670.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,11990,Manual,6952.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,9750,Manual,15696.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,9690,Manual,21175.0,Petrol,145.0,65.7,1.0
 Focus,2018,13497,Manual,12928.0,Petrol,145.0,57.7,1.0
 Fiesta,2018,11490,Manual,11876.0,Petrol,145.0,65.7,1.0
 Fiesta,2014,6497,Manual,52293.0,Diesel,0.0,78.5,1.6
 Fiesta,2015,7497,Manual,21747.0,Petrol,125.0,54.3,1.2
 Focus,2018,13997,Manual,17734.0,Petrol,145.0,57.7,1.0
 Focus,2018,11497,Manual,16558.0,Petrol,145.0,60.1,1.0
 Fiesta,2018,9997,Manual,13040.0,Petrol,145.0,64.2,1.1
 EcoSport,2019,14997,Manual,7810.0,Petrol,145.0,53.3,1.0
 KA,2014,5997,Manual,32385.0,Petrol,30.0,57.7,1.2
 Fiesta,2017,10497,Manual,19200.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,9997,Manual,20507.0,Petrol,145.0,64.2,1.1
 Fiesta,2014,9697,Manual,27864.0,Petrol,145.0,47.9,1.6
 Focus,2017,10497,Manual,19686.0,Petrol,145.0,61.4,1.0
 Focus,2017,9774,Manual,26437.0,Petrol,145.0,61.4,1.0
 Fiesta,2017,8997,Manual,7987.0,Petrol,145.0,54.3,1.2
 Focus,2017,10990,Manual,9667.0,Petrol,145.0,61.4,1.0
 Fiesta,2018,9690,Manual,11667.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,9997,Manual,15683.0,Petrol,145.0,64.2,1.1
 Kuga,2017,17950,Manual,17689.0,Diesel,145.0,64.2,1.5
 Focus,2018,18250,Manual,20132.0,Petrol,145.0,41.5,2.0
 Fiesta,2018,10490,Manual,8256.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,9690,Manual,14562.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,10190,Manual,19686.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,10290,Manual,10845.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,10997,Manual,7689.0,Petrol,145.0,64.2,1.1
 Focus,2018,10950,Manual,20191.0,Petrol,145.0,61.4,1.0
 Fiesta,2018,9890,Manual,16390.0,Petrol,145.0,64.2,1.1
 Focus,2018,13497,Manual,17804.0,Petrol,145.0,57.7,1.0
 Kuga,2018,15737,Manual,35831.0,Diesel,145.0,64.2,1.5
 B-MAX,2017,8890,Manual,16803.0,Petrol,30.0,56.5,1.0
 Fiesta,2017,9697,Manual,18250.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,10990,Manual,13474.0,Petrol,145.0,65.7,1.0
 Focus,2018,14650,Manual,3943.0,Petrol,145.0,57.7,1.0
 Focus,2018,11997,Manual,7269.0,Petrol,145.0,61.4,1.0
 Fiesta,2018,9890,Manual,10109.0,Petrol,145.0,64.2,1.1
 Focus,2018,13490,Manual,13842.0,Petrol,145.0,57.7,1.0
 Focus,2018,14497,Manual,7255.0,Petrol,145.0,57.7,1.0
 Fiesta,2016,8750,Manual,16421.0,Petrol,0.0,65.7,1.0
 Fiesta,2017,11390,Semi-Auto,18331.0,Petrol,145.0,54.3,1.0
 Focus,2017,10390,Manual,16122.0,Petrol,145.0,60.1,1.0
 Fiesta,2017,10697,Manual,13130.0,Petrol,145.0,65.7,1.0
 Focus,2017,10997,Manual,8915.0,Petrol,145.0,61.4,1.0
 Focus,2016,9997,Manual,30085.0,Diesel,0.0,74.3,1.5
 Fiesta,2018,10497,Manual,5786.0,Petrol,145.0,64.2,1.1
 Focus,2018,11990,Manual,21567.0,Petrol,145.0,57.7,1.0
 EcoSport,2018,14690,Manual,10816.0,Petrol,145.0,54.3,1.0
 Fiesta,2015,6997,Manual,30901.0,Petrol,30.0,54.3,1.2
 Fiesta,2018,11997,Manual,8159.0,Petrol,145.0,65.7,1.0
 EcoSport,2018,12390,Manual,6369.0,Petrol,145.0,54.3,1.0
 Fiesta,2018,10997,Manual,10956.0,Petrol,145.0,65.7,1.0
 Focus,2018,12497,Manual,24396.0,Petrol,145.0,57.7,1.0
 Fiesta,2017,8490,Manual,30178.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,14497,Manual,16601.0,Petrol,145.0,60.1,1.0
 Kuga,2017,16497,Manual,17407.0,Diesel,145.0,64.2,1.5
 Focus,2017,10981,Manual,25782.0,Petrol,145.0,60.1,1.0
 Focus,2017,10690,Manual,6321.0,Petrol,145.0,61.4,1.0
 Focus,2017,8690,Manual,70143.0,Diesel,145.0,74.3,1.5
 Fiesta,2018,9697,Manual,6327.0,Petrol,145.0,64.2,1.1
 Focus,2018,13797,Manual,15230.0,Petrol,145.0,57.7,1.0
 EcoSport,2015,8997,Manual,28985.0,Petrol,160.0,44.8,1.5
 Fiesta,2018,12850,Manual,6127.0,Petrol,145.0,62.8,1.0
 Focus,2018,14541,Manual,5050.0,Petrol,145.0,57.7,1.0
 Fiesta,2018,9790,Manual,20146.0,Petrol,145.0,65.7,1.0
 Kuga,2018,17997,Manual,16284.0,Diesel,145.0,54.3,1.5
 Fiesta,2018,15990,Manual,7874.0,Petrol,145.0,40.3,1.5
 Fiesta,2017,8750,Manual,5262.0,Petrol,125.0,54.3,1.2
 Focus,2017,10997,Manual,18676.0,Petrol,145.0,60.1,1.0
 Focus,2017,15490,Manual,17988.0,Petrol,145.0,41.5,2.0
 Focus,2017,11390,Manual,19419.0,Petrol,145.0,60.1,1.0
 Focus,2017,9997,Manual,29942.0,Petrol,145.0,61.4,1.0
 Fiesta,2017,8497,Manual,5806.0,Petrol,145.0,54.3,1.2
 Fiesta,2018,10697,Manual,9823.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,9890,Manual,12875.0,Petrol,145.0,64.2,1.1
 Focus,2018,11490,Manual,14991.0,Petrol,145.0,60.1,1.0
 Kuga,2018,16997,Manual,7654.0,Petrol,145.0,45.6,1.5
 Fiesta,2018,11820,Manual,6732.0,Petrol,145.0,58.9,1.0
 Fiesta,2018,10497,Manual,14455.0,Petrol,145.0,64.2,1.1
 Fiesta,2017,9350,Manual,17027.0,Petrol,145.0,64.2,1.1
 Focus,2017,16690,Manual,24692.0,Petrol,145.0,41.5,2.0
 Fiesta,2017,9661,Manual,10864.0,Petrol,145.0,64.2,1.1
 Focus,2017,11841,Manual,17434.0,Petrol,145.0,60.1,1.0
 Focus,2017,10497,Manual,33274.0,Petrol,145.0,60.1,1.0
 Fiesta,2017,8750,Manual,10458.0,Petrol,145.0,64.2,1.1
 Mondeo,2017,18290,Automatic,9641.0,Hybrid,145.0,56.5,2.0
 Focus,2016,23997,Manual,28170.0,Petrol,235.0,36.7,2.3
 Focus,2017,27497,Manual,1973.0,Petrol,235.0,36.7,2.3
 Kuga,2017,14490,Manual,17957.0,Diesel,125.0,60.1,2.0
 B-MAX,2013,6890,Manual,20881.0,Diesel,20.0,70.6,1.6
 Focus,2019,17981,Manual,3892.0,Diesel,145.0,80.7,1.5
 Fiesta,2018,11350,Manual,12981.0,Petrol,145.0,65.7,1.0
 Galaxy,2018,18741,Automatic,8878.0,Diesel,145.0,52.3,2.0
 Kuga,2017,13900,Manual,22139.0,Diesel,30.0,64.2,1.5
 Focus,2017,10997,Manual,6348.0,Petrol,20.0,61.4,1.0
 Focus,2018,16990,Manual,8348.0,Petrol,145.0,60.1,1.0
 Fiesta,2017,8697,Manual,20518.0,Petrol,125.0,54.3,1.2
 Fiesta,2017,10997,Manual,12425.0,Petrol,20.0,62.8,1.0
 Focus,2018,12497,Manual,13589.0,Petrol,145.0,60.1,1.0
 Fiesta,2018,11997,Manual,10131.0,Petrol,145.0,65.7,1.0
 EcoSport,2018,13841,Manual,9398.0,Petrol,145.0,54.3,1.0
 Fiesta,2018,10497,Manual,9615.0,Petrol,145.0,64.2,1.1
 Focus,2018,20990,Manual,7122.0,Petrol,145.0,41.5,2.0
 Focus,2018,16750,Manual,10561.0,Petrol,145.0,60.1,1.0
 Focus,2018,14497,Manual,18608.0,Petrol,145.0,58.9,1.0
 Ka+,2017,6789,Manual,27914.0,Petrol,150.0,57.7,1.2
 Fiesta,2014,7700,Semi-Auto,28882.0,Petrol,145.0,47.9,1.6
 Fiesta,2017,8997,Manual,9965.0,Petrol,125.0,54.3,1.2
 Kuga,2017,15997,Manual,19744.0,Diesel,145.0,60.1,2.0
 Focus,2018,13497,Manual,13588.0,Petrol,145.0,57.7,1.0
 Focus,2018,11997,Manual,11502.0,Petrol,145.0,61.4,1.0
 Fiesta,2015,6997,Manual,37090.0,Petrol,0.0,65.7,1.0
 Fiesta,2017,8997,Manual,17616.0,Petrol,125.0,54.3,1.2
 Kuga,2017,17497,Manual,13416.0,Diesel,125.0,60.1,2.0
 Fiesta,2017,7997,Manual,31803.0,Petrol,125.0,54.3,1.2
 Fiesta,2017,8497,Manual,14487.0,Petrol,145.0,54.3,1.2
 EcoSport,2018,12997,Manual,14868.0,Petrol,145.0,54.3,1.0
 C-MAX,2019,12950,Automatic,13807.0,Diesel,145.0,56.5,1.5
 Fiesta,2015,8700,Semi-Auto,23459.0,Petrol,145.0,47.9,1.6
 Kuga,2018,17800,Automatic,33421.0,Diesel,145.0,54.3,2.0
 B-MAX,2013,5700,Manual,66449.0,Petrol,30.0,57.7,1.0
 Fiesta,2014,6200,Manual,49939.0,Diesel,0.0,78.5,1.6
 Kuga,2017,16750,Manual,17035.0,Diesel,145.0,54.3,2.0
 Mondeo,2015,8973,Manual,54803.0,Diesel,20.0,68.9,2.0
 Fiesta,2016,12995,Automatic,2874.0,Petrol,0.0,57.7,1.0
 Focus,2018,17750,Manual,9836.0,Diesel,145.0,67.3,2.0
 EcoSport,2017,10250,Manual,14554.0,Petrol,125.0,53.3,1.0
 EcoSport,2014,8000,Manual,16323.0,Diesel,30.0,61.4,1.5
 Focus,2018,11500,Manual,8286.0,Petrol,150.0,60.1,1.0
 EcoSport,2017,9500,Manual,31691.0,Petrol,125.0,53.3,1.0
 Kuga,2017,14500,Manual,25951.0,Diesel,150.0,60.1,2.0
 EcoSport,2019,16000,Manual,7684.0,Petrol,150.0,51.4,1.0
 Fiesta,2018,10000,Manual,12490.0,Petrol,150.0,64.2,1.1
 Fiesta,2019,12500,Manual,3685.0,Petrol,150.0,56.5,1.0
 Fiesta,2019,11000,Manual,7775.0,Petrol,145.0,55.4,1.1
 Fiesta,2017,8690,Manual,17932.0,Petrol,125.0,54.3,1.2
 Fiesta,2018,9997,Manual,7469.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,9997,Manual,15464.0,Petrol,145.0,64.2,1.1
 Focus,2017,9997,Manual,34606.0,Petrol,145.0,60.1,1.0
 Fiesta,2017,7997,Manual,27838.0,Petrol,125.0,54.3,1.2
 Focus,2017,10997,Manual,18980.0,Petrol,145.0,61.4,1.0
 Focus,2017,10797,Manual,16546.0,Petrol,145.0,61.4,1.0
 Ka+,2017,7997,Manual,24427.0,Petrol,145.0,57.7,1.2
 Kuga,2017,13997,Manual,28930.0,Diesel,30.0,64.2,1.5
 Fiesta,2018,12000,Manual,11201.0,Petrol,145.0,58.9,1.0
 Fiesta,2018,11500,Manual,36775.0,Petrol,145.0,65.7,1.0
 Ka+,2017,7500,Manual,18055.0,Petrol,145.0,57.7,1.2
 Focus,2018,14000,Semi-Auto,15983.0,Diesel,145.0,67.3,1.5
 EcoSport,2017,10000,Manual,10133.0,Petrol,150.0,52.3,1.0
 Ka+,2018,7500,Manual,13647.0,Petrol,150.0,57.7,1.2
 Kuga,2017,16000,Manual,26931.0,Diesel,150.0,54.3,2.0
 Kuga,2019,21000,Manual,10889.0,Diesel,150.0,45.6,1.5
 EcoSport,2018,13500,Manual,10654.0,Petrol,145.0,54.3,1.0
 S-MAX,2016,16000,Manual,16030.0,Diesel,125.0,56.5,2.0
 Kuga,2016,14000,Manual,34986.0,Diesel,145.0,54.3,2.0
 Ka+,2018,8000,Manual,9193.0,Petrol,145.0,57.7,1.2
 Focus,2014,7000,Manual,25462.0,Diesel,20.0,67.3,1.6
 Fiesta,2018,10500,Manual,18459.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,10000,Manual,13547.0,Petrol,150.0,65.7,1.0
 Fiesta,2016,8500,Manual,42195.0,Petrol,20.0,62.8,1.0
 Fiesta,2019,14500,Manual,6659.0,Petrol,145.0,58.9,1.0
 Fiesta,2019,14500,Manual,5650.0,Petrol,145.0,58.9,1.0
 Focus,2017,16000,Manual,17000.0,Petrol,200.0,41.5,2.0
 C-MAX,2016,9500,Semi-Auto,21065.0,Diesel,20.0,64.2,1.5
 EcoSport,2019,14500,Manual,15500.0,Petrol,145.0,53.3,1.0
 Kuga,2018,16500,Manual,6000.0,Diesel,145.0,64.2,1.5
 EcoSport,2017,10200,Manual,21114.0,Petrol,125.0,53.3,1.0
 EcoSport,2014,8500,Manual,19671.0,Petrol,125.0,53.3,1.0
 Fiesta,2017,9400,Manual,26000.0,Petrol,150.0,64.2,1.1
 Fiesta,2013,8800,Manual,62000.0,Petrol,150.0,47.9,1.6
 C-MAX,2013,6250,Manual,72937.0,Diesel,30.0,61.4,1.6
 Kuga,2016,15500,Manual,32600.0,Diesel,145.0,54.3,2.0
 Focus,2015,8465,Semi-Auto,43450.0,Petrol,160.0,44.8,1.6
 Fiesta,2014,5465,Manual,41638.0,Petrol,30.0,54.3,1.2
 Fiesta,2018,11300,Manual,9601.0,Petrol,145.0,65.7,1.0
 Fiesta,2014,7600,Manual,27741.0,Petrol,0.0,65.7,1.0
 Fiesta,2017,9200,Manual,12759.0,Petrol,125.0,54.3,1.2
 Focus,2018,13620,Manual,12180.0,Petrol,145.0,57.7,1.0
 Fiesta,2016,9000,Manual,12944.0,Petrol,125.0,54.3,1.2
 Focus,2018,16800,Manual,19388.0,Petrol,145.0,60.1,1.0
 EcoSport,2018,14750,Manual,16197.0,Petrol,145.0,54.3,1.0
 Fiesta,2018,10400,Manual,10978.0,Petrol,145.0,65.7,1.0
 Focus,2018,14500,Manual,10755.0,Petrol,145.0,57.7,1.0
 Ka+,2018,8750,Manual,10388.0,Petrol,145.0,57.7,1.2
 Fiesta,2013,6500,Manual,38609.0,Petrol,0.0,65.7,1.0
 Focus,2018,13500,Manual,21825.0,Diesel,145.0,74.3,1.5
 Focus,2018,13750,Manual,7565.0,Diesel,145.0,74.3,1.5
 Fiesta,2013,7000,Manual,13969.0,Petrol,30.0,54.3,1.2
 EcoSport,2017,10650,Manual,24178.0,Petrol,145.0,52.3,1.0
 Kuga,2017,15500,Manual,19027.0,Diesel,145.0,64.2,1.5
 Fiesta,2013,5600,Manual,63884.0,Petrol,30.0,54.3,1.2
 Grand C-MAX,2016,11500,Manual,12548.0,Diesel,30.0,64.2,1.5
 Fiesta,2020,19718,Manual,10.0,Petrol,145.0,55.4,1.0
 Focus,2018,15500,Manual,7917.0,Petrol,145.0,58.9,1.0
 Fiesta,2017,9310,Manual,16235.0,Petrol,0.0,65.7,1.0
 Ka+,2018,9000,Manual,9000.0,Petrol,150.0,47.9,1.2
 EcoSport,2017,10000,Manual,33375.0,Diesel,150.0,64.2,1.5
 Kuga,2019,26000,Semi-Auto,1378.0,Diesel,145.0,42.2,2.0
 EcoSport,2019,16100,Manual,3207.0,Petrol,145.0,53.3,1.0
 Focus,2019,18000,Manual,8985.0,Petrol,145.0,60.1,1.0
 Fiesta,2019,18000,Semi-Auto,1265.0,Petrol,145.0,48.7,1.0
 Fiesta,2016,8800,Manual,25587.0,Petrol,0.0,65.7,1.0
 Focus,2017,11700,Manual,26807.0,Petrol,145.0,60.1,1.0
 Fiesta,2018,11200,Manual,17138.0,Petrol,145.0,65.7,1.0
 Fiesta,2017,7860,Manual,24293.0,Petrol,125.0,54.3,1.2
 Fiesta,2015,7160,Manual,43441.0,Diesel,0.0,88.3,1.5
 Focus,2015,14465,Manual,31322.0,Petrol,205.0,41.5,2.0
 Fiesta,2016,10497,Manual,9920.0,Diesel,0.0,78.5,1.5
 Fiesta,2015,5999,Manual,30540.0,Petrol,125.0,54.3,1.2
 EcoSport,2016,8999,Manual,11800.0,Petrol,125.0,53.3,1.0
 Fiesta,2013,7710,Manual,27320.0,Petrol,0.0,65.7,1.0
 Focus,2014,7695,Manual,51986.0,Diesel,20.0,67.3,1.6
 Fiesta,2018,11000,Manual,28573.0,Petrol,145.0,56.5,1.0
 Fiesta,2015,8495,Manual,30007.0,Petrol,20.0,62.8,1.0
 Fiesta,2016,9190,Automatic,19424.0,Petrol,0.0,57.7,1.0
 Focus,2016,8830,Manual,33980.0,Diesel,0.0,74.3,1.5
 Focus,2017,8500,Manual,26546.0,Petrol,20.0,61.4,1.0
 Fiesta,2018,11300,Semi-Auto,35407.0,Petrol,145.0,54.3,1.0
 Fiesta,2018,12000,Manual,29620.0,Petrol,145.0,65.7,1.0
 Fiesta,2018,13500,Semi-Auto,4213.0,Petrol,145.0,54.3,1.0
 Kuga,2014,9000,Manual,39187.0,Diesel,125.0,60.1,2.0
 Edge,2017,20000,Manual,13826.0,Diesel,145.0,48.7,2.0
 Kuga,2015,9000,Manual,45394.0,Diesel,125.0,60.1,2.0
 Fiesta,2018,9000,Manual,22496.0,Petrol,145.0,64.2,1.1
 Fiesta,2017,11298,Manual,16364.0,Petrol,0.0,65.7,1.0
 Fiesta,2017,10998,Manual,14565.0,Petrol,0.0,65.7,1.0
 C-MAX,2017,9798,Manual,24842.0,Petrol,30.0,55.4,1.0
 Focus,2017,11498,Manual,22876.0,Diesel,0.0,74.3,1.5
 Fiesta,2017,8998,Manual,24625.0,Petrol,0.0,65.7,1.0
 Fiesta,2013,6298,Manual,33762.0,Petrol,30.0,54.3,1.2
 Focus,2016,8398,Manual,31221.0,Petrol,20.0,61.4,1.0
 Galaxy,2017,17995,Semi-Auto,40782.0,Diesel,145.0,52.3,2.0
 Kuga,2017,17495,Automatic,5040.0,Petrol,235.0,38.2,1.5
 Focus,2017,9795,Semi-Auto,31100.0,Petrol,125.0,51.4,1.0
 Fiesta,2017,8797,Manual,17953.0,Petrol,145.0,54.3,1.2
 Fiesta,2016,8690,Manual,15990.0,Petrol,0.0,65.7,1.0
 Focus,2017,9990,Manual,14205.0,Petrol,145.0,60.1,1.0
 Focus,2017,12997,Manual,9612.0,Petrol,145.0,57.7,1.0
 Fiesta,2017,10971,Manual,10388.0,Petrol,145.0,65.7,1.0
 Fiesta,2017,9350,Manual,19367.0,Petrol,145.0,64.2,1.1
 Focus,2017,18690,Manual,16967.0,Petrol,145.0,41.5,2.0
 Fiesta,2019,16690,Manual,6760.0,Petrol,145.0,40.3,1.5
 Focus,2018,16750,Manual,10567.0,Petrol,145.0,60.1,1.0
 Mondeo,2015,12941,Manual,10599.0,Petrol,145.0,48.7,1.5
 Fiesta,2018,9490,Manual,18516.0,Petrol,145.0,64.2,1.1
 Focus,2018,11890,Manual,19097.0,Petrol,145.0,60.1,1.0
 Focus,2017,10497,Manual,27489.0,Petrol,20.0,61.4,1.0
 Fiesta,2018,12995,Manual,12267.0,Petrol,145.0,65.7,1.0
 Focus,2018,11980,Manual,13864.0,Petrol,145.0,60.1,1.0
 Fiesta,2013,7980,Semi-Auto,37576.0,Petrol,145.0,47.9,1.6
 Kuga,2017,19998,Semi-Auto,18471.0,Diesel,145.0,54.3,2.0
 Focus,2019,16998,Manual,16410.0,Petrol,145.0,60.1,1.0
 Focus,2018,13998,Manual,9303.0,Petrol,145.0,57.7,1.0
 Focus,2019,19898,Automatic,4166.0,Diesel,145.0,64.2,2.0
 Kuga,2017,15498,Manual,23763.0,Diesel,145.0,54.3,2.0
 Focus,2018,21798,Manual,3774.0,Petrol,145.0,41.5,2.0
 Fiesta,2019,13998,Manual,11689.0,Petrol,145.0,58.9,1.0
 Focus,2017,10998,Manual,24014.0,Diesel,145.0,74.3,1.5
 Fiesta,2013,7298,Semi-Auto,24950.0,Petrol,145.0,47.9,1.6
 Mondeo,2017,11998,Manual,44456.0,Diesel,30.0,65.7,2.0
 Focus,2019,14798,Manual,18443.0,Petrol,145.0,58.9,1.0
 Focus,2017,10890,Manual,22158.0,Petrol,20.0,60.1,1.0
 Focus,2013,6790,Manual,37002.0,Petrol,20.0,58.9,1.0
 Focus,2016,9890,Manual,20058.0,Diesel,0.0,74.3,1.5
 Ka+,2018,7797,Manual,13000.0,Petrol,145.0,57.7,1.2
 S-MAX,2017,15990,Manual,28115.0,Diesel,145.0,56.5,2.0
 Focus,2019,16997,Manual,6837.0,Petrol,150.0,60.1,1.0
 Focus,2018,16997,Manual,8954.0,Petrol,145.0,60.1,1.0
 Fiesta,2015,6995,Manual,30381.0,Petrol,30.0,54.3,1.2
 Ka+,2018,6995,Manual,10529.0,Petrol,145.0,57.7,1.2
 Kuga,2017,14998,Manual,44106.0,Diesel,125.0,60.1,2.0
 Kuga,2017,17298,Automatic,8245.0,Petrol,235.0,38.2,1.5
 Kuga,2018,16998,Manual,19409.0,Diesel,145.0,54.3,1.5
 Kuga,2019,17498,Manual,7669.0,Petrol,145.0,34.4,1.5
 Focus,2017,10998,Manual,49742.0,Diesel,150.0,74.3,1.5
 Focus,2016,9470,Manual,40519.0,Diesel,0.0,74.3,1.5
 Kuga,2014,10298,Manual,35210.0,Petrol,200.0,42.8,1.6
 Fiesta,2016,9998,Manual,27154.0,Petrol,20.0,62.8,1.0
 Fiesta,2017,8998,Manual,10602.0,Petrol,145.0,54.3,1.2
 EcoSport,2017,10498,Manual,36562.0,Petrol,125.0,52.3,1.0
 Focus,2016,10995,Manual,25325.0,Petrol,20.0,60.1,1.0
 Fiesta,2018,7995,Manual,54400.0,Petrol,145.0,64.2,1.1
 Fiesta,2018,10000,Manual,8236.0,Petrol,145.0,64.2,1.1
